artiest;titel;soort;jaar;label;catalogusnummer;persing;vraagprijs;advies;foto's;discogs
Stars On 45;Proudly Presents The Star Sisters;single;1983;CNR Records;142.004;Netherlands;;zeer courant, in een lot;"IMG20260913165852.jpg;IMG20260913165857.jpg";https://www.discogs.com/release/1004085
Taco;Singin' In The Rain;single;1982;RCA Victor;PB 69009;Belgium;3.0;los of lot;"IMG20260913170207.jpg;IMG20260913170215.jpg";https://www.discogs.com/release/2378740
The Jacksons;Triumph;LP;1980;Epic, Epic;EPC 86112;Europe;7.0;los of lot;"IMG20260913165910.jpg;IMG20260913165915.jpg";https://www.discogs.com/release/647347
The Professionals (8);Falling In And Out Of Love;LP;1984;W.B. Sound;WBS 5034;Belgium;5.0;los of lot;"IMG20260913160841.jpg;IMG20260913160850.jpg";https://www.discogs.com/release/1386866
The Temptations;Masterpiece;single;1973;Tamla Motown, Tamla Motown;4 C006-94223;Belgium;3.0;los of lot;"IMG20260913165153.jpg;IMG20260913165158.jpg";https://www.discogs.com/release/1622829
Time Bandits;Endless Road (And I Want You To Know My Love);single;1985;CBS;CBSA 6233;Netherlands;3.0;los of lot;"IMG20260913165949.jpg;IMG20260913165954.jpg";https://www.discogs.com/release/1261452
Timi Yuro;This Is Timi Yuro - Hurt And Smile;LP;;Sunset Records, Sunset Records;5D 128-52695/6;Netherlands;5.0;los of lot;"IMG20260913161218.jpg;IMG20260913161226.jpg;IMG20260913161238.jpg";https://www.discogs.com/release/4724619
Tino Rossi;La Vie Commence A 60 Ans.;LP;1980;Columbia, Columbia;2C 068 - 15.647;France;5.0;los of lot;"IMG20260913163124.jpg;IMG20260913163130.jpg";https://www.discogs.com/release/2725343
Tom Jones;20 Greatest Hits;LP;1974;Decca, Decca;TJD 1/1;Italy;8.5;los verkopen;"IMG20260913162901.jpg;IMG20260913162909.jpg;IMG20260913162916.jpg";https://www.discogs.com/release/12800463
Tom Jones;From The Heart;LP;1966;Decca, Decca;LK 4814;UK;5.0;los of lot;"IMG20260913163353.jpg;IMG20260913163359.jpg";https://www.discogs.com/release/1253473
Tom Jones;Green, Green Grass Of Home;LP;1967;Decca;SLK 16 464-P;Germany;5.0;los of lot;"IMG20260913163057.jpg;IMG20260913163108.jpg";https://www.discogs.com/release/403740
Tom Jones;Help Yourself;LP;1968;Decca;SLK 16 571-P;Germany;5.0;los of lot;"IMG20260913162956.jpg;IMG20260913163003.jpg";https://www.discogs.com/release/2614903
Tom Jones;Tom Jones Sings She's A Lady;LP;1971;Decca, Decca;SLK 16 714-P;Germany;5.0;los of lot;"IMG20260913163018.jpg;IMG20260913163032.jpg;IMG20260913163038.jpg";https://www.discogs.com/release/3720615
Various;Ciao Italia;LP;1988;EVA, EVA Columbia;303.347;Europe;5.0;los of lot;"IMG20260913163930.jpg;IMG20260913163937.jpg;IMG20260913163945.jpg";https://www.discogs.com/release/1858663
Various;Gouden Uren;LP;1980;Arcade;ADEH 67;Netherlands;5.0;los of lot;"IMG20260913170738.jpg;IMG20260913170743.jpg;IMG20260913170751.jpg";https://www.discogs.com/release/3924718
Various;That's Soul 8;LP;1972;Polydor;2484 053;Netherlands;5.0;los of lot;"IMG20260913161751.jpg;IMG20260913161759.jpg";https://www.discogs.com/release/2364569
Various;The 12 Best;LP;;BASF;12.29257.6;Belgium;7.0;los of lot;"IMG20260913164200.jpg;IMG20260913164205.jpg";https://www.discogs.com/release/5446259
Various;Woman In Love;LP;1980;Crown (6), Crown (6);ADEH 71;Netherlands;5.0;los of lot;"IMG20260913164117.jpg;IMG20260913164123.jpg;IMG20260913164143.jpg";https://www.discogs.com/release/615067
Various;Woman In Love Volume 2;LP;1981;Arcade, Arcade;ADEH 83;Netherlands;5.0;los of lot;"IMG20260913164044.jpg;IMG20260913164054.jpg;IMG20260913164102.jpg";https://www.discogs.com/release/1689144
Vikki Carr;It Must Be Him;LP;;Liberty, Liberty;4 C058-90264;Belgium;5.0;los of lot;"IMG20260913160800.jpg;IMG20260913160815.jpg";https://www.discogs.com/release/6265083
Will Ferdy, Trio Paul Dumont;In Levende Lijve;LP;;Distridisc;0125-140;Belgium;14.5;los verkopen;"IMG20260913163906.jpg;IMG20260913163911.jpg";https://www.discogs.com/release/11995442
